Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2020-01-30,9545.0779565894,9320.9825674963,9633.2510350153,9185.1813402348
BTC,2020-01-31,9388.8807518859,9548.5453758381,9558.4326133253,9198.6590414019
BTC,2020-02-01,9363.3411836371,9388.8790704776,9451.0645797253,9284.4105590399
BTC,2020-02-02,9433.9473159771,9362.3386090284,9465.4879070367,9150.5345727305
BTC,2020-02-03,9269.7070348447,9434.1549902408,9603.1055824836,9222.9464935155
BTC,2020-02-04,9177.8946372066,9269.7090603241,9349.2470579603,9072.5882144438
BTC,2020-02-05,9625.4566372011,9177.8957937954,9745.1713772974,9147.6522811203
BTC,2020-02-06,9681.3774113095,9625.4566531754,9856.4477732891,9527.1516688188
BTC,2020-02-07,9795.3440659492,9681.3776995274,9872.6160693597,9653.132962425
BTC,2020-02-08,9927.7782564213,9795.343586045,9939.6715013086,9660.3091570566
BTC,2020-02-09,10132.706499106,9927.7782888901,10175.9070114234,9888.1547646154
BTC,2020-02-10,9838.9000162764,10132.7064787693,10197.1992831582,9752.1957570763
BTC,2020-02-11,10236.6351482326,9838.9000164505,10351.4559262839,9711.3609146837
BTC,2020-02-12,10388.1630261828,10236.7932647241,10489.7798581491,10218.5228603197
BTC,2020-02-13,10218.0997373046,10388.1650898703,10516.9179252276,10097.7616888251
BTC,2020-02-14,10367.5279981077,10218.2465258897,10598.0301607446,10108.1591627515
BTC,2020-02-15,9926.353690569,10367.5274787261,10397.5364799673,9810.9280724781
BTC,2020-02-16,9876.2349632052,9926.3534545451,10052.3546170894,9642.4650322727
BTC,2020-02-17,9651.6233035781,9876.2323845415,10004.5872642587,9468.2926979618
BTC,2020-02-18,10189.9959829746,9651.6230992569,10272.7948244353,9615.2634207426
BTC,2020-02-19,9701.0371914987,10190.007761341,10290.3042606394,9365.7802995899
BTC,2020-02-20,9631.4849459561,9707.9666748505,9707.9753352491,9410.9214156628
BTC,2020-02-21,9678.9356226513,9631.4825593356,9770.3406915984,9579.2374087583
BTC,2020-02-22,9689.0867428481,9676.050954953,9726.4143838748,9575.0544894763
BTC,2020-02-23,9880.1735757802,9689.0859922174,10008.5404721395,9666.5194970895
BTC,2020-02-24,9640.4695050585,9880.1721159202,10008.3784911882,9480.1859420408
BTC,2020-02-25,9391.5971335537,9640.4685621125,9679.5950897831,9251.1158336841
BTC,2020-02-26,8787.9783631624,9393.5604725845,9420.479888541,8626.9357463294
BTC,2020-02-27,8784.9953524383,8787.9760069648,8977.5855649234,8530.4963793833
BTC,2020-02-28,8672.420637481,8788.9787343476,8904.1262180007,8459.6952608372
BTC,2020-02-29,8778.4705108021,8672.4174452081,8786.4421061629,8664.5657109035
