Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2020-02-23,9880.1735757802,9689.0859922174,10008.5404721395,9666.5194970895
BTC,2020-02-24,9640.4695050585,9880.1721159202,10008.3784911882,9480.1859420408
BTC,2020-02-25,9391.5971335537,9640.4685621125,9679.5950897831,9251.1158336841
BTC,2020-02-26,8787.9783631624,9393.5604725845,9420.479888541,8626.9357463294
BTC,2020-02-27,8784.9953524383,8787.9760069648,8977.5855649234,8530.4963793833
BTC,2020-02-28,8672.420637481,8788.9787343476,8904.1262180007,8459.6952608372
BTC,2020-02-29,8778.4705108021,8672.4174452081,8786.4421061629,8664.5657109035
